name,term,facts,decision_type,first_party,second_party,first_party_winner,issue_area,facts_len,majority_vote,deepseek_responses,llama_responses,deepseek_contamination,llama_contamination
National Labor Relations Board v. Noel Canning,2013,"<p>The National Labor Relations Act (NLRA) established the National Labor Relations Board (Board) to decide labor disputes among employers, unions, and employees. Parties first file unfair labor practice allegations to a Regional Office, which then conducts an investigation and, if necessary, files a complaint. An Administrative Law Judge (ALJ) presides over the hearing on the complaint and issues a recommendation to the Board. Unless a party to the dispute files a timely appeal, the ALJ's recommendation becomes the final order of the Board. To hear a case and issue a ruling, the Board must have at least three of its five members present. The NLRA allows parties to appeal a Board ruling to the U.S. Court of Appeals for the area where the alleged unfair labor practice occurred or to the U.S. Court of Appeals for the District of Columbia Circuit. Board members are appointed by the president and serve five-year terms.</p>
<p>In 2010, Noel Canning, a bottler and distributor of Pepsi-Cola products, was engaged in negotiations with its employee union, the International Brotherhood of Teamsters Local 760 (Union). During the final bargaining session that December, Noel Canning agreed to submit two wage and pension plans to a vote by the Union membership. The membership approved the union's preferred proposal. However, Noel Canning argued that the discussions did not amount to a binding agreement and refused to incorporate the changes into a new collective bargaining agreement. The Union filed a complaint with the Board alleging that Noel Canning's actions constituted an unfair labor practice in violation of the NLRA. An ALJ determined that the agreement was binding and ordered Noel Canning to sign the collective bargaining agreement. The Board affirmed the ruling against Noel Canning.</p>
<p>Noel Canning appealed to the U.S. Court of Appeals for the District of Columbia Circuit, which held that the Board's ruling was invalid because not enough members of the Board were present. The panel that heard the Noel Canning case consisted of one member who was appointed by President Barack Obama and confirmed by the Senate in 2010 and two members whom President Obama appointed without Senate confirmation in January 2012. Although the Recess Appointments Clause allows the president to fill vacancies that occur while Congress is in recess, between December 2011 and the end of January 2012, the Senate met in pro forma meetings every three business days. Therefore, the Court of Appeals determined that the Senate was not in recess on the days the Senate did not meet because, for the purpose of the Recess Appointments Clause, recess is defined as the time in between sessions of Congress.</p>
",majority opinion,National Labor Relations Board,Noel Canning,False,Miscellaneous,2718,9,5,9,False,True
Davis v. Ayala,2014,"<p>Hector Ayala, a Hispanic man, was charged with three counts of murder and one count of attempted murder stemming from a failed robbery. During jury selection for his trial in California state court, the prosecution used seven preemptory challenges to exclude each black or Hispanic prospective juror. Ayala challenged the prosecution's use of preemptory challenges as a violation of the Supreme Court's decision in <em>Batson v. Kentucky</em>, which held that the exclusion of jurors on the basis of race was a violation of the Equal Protection Clause of the Fourteenth Amendment. In accordance with <em>Batson</em>, if a party can make a prima facie showing that preemptory challenges are being used in a racially motivated way, the other party must give a non-racially motivated reason for their use of the preemptory challenges. The state court allowed the prosecution to give their non-racially motivated reasons in a closed hearing, from which Ayala and his attorneys were excluded, and subsequently found the prosecution's use of preemptory challenges was not racially motivated. Ayala was not given the prosecution's reasoning or a transcript of the meeting until after the conclusion of his trial. Additionally, after the trial it was discovered that the vast majority of the questionnaires all the potential jurors had to fill out had been lost. Ayala was found guilty of the majority of the charges against him and sentenced to death.</p>
<p>On appeal, the California Supreme Court found that the state court erred in excluding Ayala from the <em>Batson</em> hearing, but that error as well as the loss of the questionnaires were harmless, and therefore upheld Ayala's conviction. Ayala appealed to the U.S Court of Appeals for the Ninth Circuit and argued that the <em>Batson</em> hearing procedure and loss of the questionnaires violated his constitutional rights. In accordance with the Antiterrorism and Effective Death Penalty Act of 1996, the appellate court found that the California Supreme Court had not adjudicated Ayala's claims of federal constitutional violations on the merits largely on the basis that the California Court had determined the procedure used for the <em>Batson</em> hearing violated California state law; therefore the appellate court reviewed Ayala's claims <em>de novo</em> and found that the exclusion of Ayala from the <em>Batson</em> hearing, as well as the loss of the questionnaires, violated Ayala's constitutional rights. To determine whether the errors were harmless, the Court of Appeals applied the standard set forth in <em> Brecht v. Abrahamson</em> , which asked whether the errors had a substantial and injurious influence on the jury's verdict, and found that the exclusion of Ayala from the Batson  hearing deprived him of the ability to prevail on a compelling <em>Batson</em> challenge.</p>
",majority opinion,"Ron Davis, Acting Warden",Hector Ayala,True,Criminal Procedure,2854,5,5,6,True,False
National Labor Relations Board v. Lion Oil Company,1956,"<p>Beginning on October 23, 1950, Lion Oil Company and Oil Workers International Union CIO entered into a collective bargaining agreement providing in detail the wages, hours and conditions for employees of the company. The agreement provided the means to amend its terms: Either party must notify the other in writing of its desire to amend the agreement, after which the company and the union should attempt to agree on the desired amendments. If no agreement was reached within sixty days, either party may terminate the agreement.</p>
<p>On August 24, 1951, the union transmitted a letter to the company notifying the company of its desire to modify the agreement. Representatives of the company and the union first met on August 29, 1951 to discuss the proposed amendments. The two groups held 37 more meetings between that date and April 30, 1952, but no agreement was reached. On April 30, employees of the company went on strike, demanding wage increases and other benefits. Neither the company nor the union notified the other that it intended to terminate the contract. On June 21, 1952, the union offered to return all striking employees to work unconditionally, but the company refused this offer.</p>
<p>The company distributed a letter to the union explaining that there would be no reinstatement of workers unless the employees agreed to work for a period of at least one year without work stoppage. After June 21, the company interviewed individual employees and rehired only those who assured the company that they would continue to work daily throughout the strike. On August 3, 1952, a new agreement was executed between the company and the union; employees were reinstated the next day.</p>
<p>The National Labor Relations Act (NLRA) provided that where there is a collective bargaining contract, employees may not go on strike until sixty days after either party provides written notice of its intent to terminate or modify the contract or until the contract expires, whichever occurs later. Employees who go on strike before this point lose the protection of the NLRA.</p>
<p>During the negotiations for the new agreement, the union filed a charge of unfair labor practices against the company with the National Labor Relations Board, based on the company’s response to the employees’ offer to return to work. The five member Board held in a split decision that the company was guilty of unfair labor practices under the NLRA, rejecting the company’s defense that the strikers lost the protection of the act because the contract was still in effect. The company appealed to the United States Court of Appeals for the Eighth Circuit, which set aside the Board’s ruling. The Eighth Circuit held that a strike would violate the terms of the contract until the contract expired or was cancelled in the manner provided for in the NLRA. As the contract had not expired when the employees went on strike, those employees violated the terms of the NLRA and lost its protection.</p>
<p>While the case was pending in the Supreme Court, Lion Oil Company was merged into Monsanto Chemical Company. By order of the Court, Monsanto was made a party in the case.</p>
",majority opinion,National Labor Relations Board,"Lion Oil Company, Monsanto Chemical Company",True,Unions,3174,6,5,6,False,True
Chapman v. California,1966,"<p>On October 17, 1962, Ruth Elizabeth Chapman and Thomas LeRoy Teale registered at a motel in Fresno, California. At approximately 2:00 A.M. the following day, Chapman and Teale appeared at the Spot Club in Lodi. The only persons at the bar were Teale, Chapman, and the club’s bartender, Billy Dean Adcock. A short time later, a witness observed three persons in front of the Spot Club: a woman of Chapman’s general description and Adcock stood in front of the club’s door, while a man resembling Teale stood behind Adcock while he apparently locked the door.</p>
<p>The next day, the Spot Club’s owner found the club in disarray; someone had broken into the cash register and approximately $260 was missing. Routine housekeeping tasks normally performed by Adcock were left undone. Later, Adcock body’s was found in a remote area north of Lodi, half buried in an open roadside ditch. The time of death was approximately 3:00 AM on October 18th. Adcock was shot three times in the head. The bullets were fired from a .22 caliber weapon similar to one purchased by Chapman while with Teale in Reno, Nevada, six days before the killing. The gun was not found.</p>
<p>Officers arrested Teale in New Orleans on November 2, 1962. He carried a gun purchased the same day as Chapman’s .22 caliber weapon. An agent of the Federal Bureau of Investigation arrested Chapman in St. Joseph, Missouri on October 26, 1962. She gave conflicting accounts of her whereabouts on October 17 and 18, but a registration card from October 18 for occupancy of a motel room in Woodland, California was made out in her handwriting.</p>
<p>Chapman and Teale were charged with the first degree murder of Adcock. A prisoner locked up with Teale testified that Teale did not plan on killing Adcock, but when Chapman and Teale released Adcock from their car outside of Lodi, Chapman shot him once in the back of the head and twice more when he was on the ground. Neither defendant appeared as a witness, but Chapman’s conflicting testimony was introduced by direct examination of the FBI agent. The trial court instructed the jury that they could draw adverse conclusions from the defendants’ failure to testify. The jury convicted both defendants of first degree murder. Shortly thereafter, the Supreme Court held in <i>Griffin v. State of California</i> that California’s practice of allowing prosecutors to use defendants’ silence against them violated the Fifth and Fourteenth Amendments. On appeal, however, the California Supreme Court held that the unconstitutional jury instruction was a harmless error because it did not result in a miscarriage of justice.</p>
",majority opinion,"Ruth Elizabeth Chapman, Thomas LeRoy Teale",California,True,Criminal Procedure,2640,8,7,7,False,False
Welch v. United States,2015,"<p>Police entered Gregory Welch’s apartment because they had reason to believe that a robbery suspect was on the premises. After obtaining Welch’s consent to search the apartment, the police located a gun and ammunition that Welch later identified as his own. Welch was subsequently arrested and charged with being a felon in possession of a firearm, and he pleaded guilty. Because Welch had three prior felony convictions, the district court determined that the Armed Career Criminal Act (ACCA) required that he be sentenced to a minimum of 15 years in prison. Welch appealed his sentence and argued that one of his felonies, a conviction for “strong arm” robbery in Florida state court in 1996, did not qualify as a predicate offense for the purpose of the ACCA because, at the time he was convicted, Florida state law allowed for a conviction of robbery with a much lower level of force than the federal law required. The U.S. Court of Appeals for the Eleventh Circuit affirmed the district court’s determination that Welch’s conviction for robbery under Florida state law was a predicate offense for the purpose of the ACCA because it involved force that was “capable of causing physical pain or injury to another person.”</p>
<p>In 2013, Welch filed a collateral challenge to his conviction and argued that his prior conviction for strong arm robbery vague and that his trial counsel had been ineffective in allowing him to be sentenced under the ACCA. He sought a certificate of appealability to the appellate court, which the district court denied. Welch then sought a certificate of appealability from the appellate court and noted that there was a challenge to the ACCA based on its vagueness pending in the Supreme Court, <em>Johnson v. United States</em>. The appellate denied the certificate of appealability.</p>
<p>Three weeks later, the Supreme Court decided <em>Johnson v. United States</em> and held that the residual clause of the ACCA, which included action that “otherwise involves conduct that presents a serious potential risk of physical injury to another” in the definition of a violent felony, was unconstitutionally vague. The Court held that the residual clause violated the Due Process Clauses of the Fifth Amendment and Fourteenth Amendments because it was so vague that it failed to give people adequate notice of the conduct it punished. In order to apply the residual clause to a case, courts had to assess the “hypothetical risk posed by an abstract generic version” of the crime in question, which made the application of the clause unconstitutionally arbitrary and unpredictable.</p>
",majority opinion,Gregory Welch,United States,True,Criminal Procedure,2619,7,8,7,False,True
County of Los Angeles v. Mendez,2016,"<p dir=""ltr"">In October 2010, Deputies Christopher Conley and Jennifer Pederson of the Los Angeles County Sheriff’s Department responded to a tip from an informant that wanted parolee Ronnie O’Dell had been seen in front of the nearby residence of Paula Hughes. The officers were informed that Angel Mendez and Jennifer Lynn Garcia lived together in the backyard of the Hughes residence. Although they did not have a search warrant, other officers directed Deputies Conley and Pederson to search the backyard. After determining that O’Dell was not in any of the three storage sheds in Hughes’ backyard, the deputies proceeded to a wooden shed surrounded by an A/C unit, clothes locker, clothes, and other belongings. The deputies did not knock and announce their presence. Deputy Conley, upon opening the door, saw the silhouette of a person holding a rifle through a curtain in the shed. Conley yelled “Gun!” and both deputies proceeded to shoot Mendez and Garcia. Whether Mendez was merely moving the gun or was pointing it at the deputies was subject to conflicting testimony at trial. As a result, Mendez required amputation of his right leg below the knee, and Garcia was shot in the back. </p>
<p dir=""ltr""> </p>
<p dir=""ltr"">Mendez and Garcia sued Conley and Pederson and alleged that the deputies, in their official capacity, deprived them of their Fourth Amendment rights by performing an unjustified warrantless search and that the deputies failed to adhere to the knock-and-announce rule, which requires that officers announce their presence before they enter a home. The district court found for the plaintiffs on both these allegations and also held that, although the officers’ use of force was reasonable under the circumstances, they were liable for the shooting under the Ninth Circuit’s provocation rule. That rule holds an officer liable for use of deadly force where the officer intentionally or recklessly provokes a violent confrontation via a Fourth Amendment violation. The U.S. Court of Appeals for the Ninth Circuit affirmed the lower court’s determination that the search violated the Fourth Amendment but reversed the knock-and-announce rule holding that because there was no controlling Ninth Circuit precedent on whether officers must announce themselves again at a separate residence on the same property.  The appellate court also held that the officers were liable under the provocation rule because their unjustified search of the occupied shed led to the shooting.</p>
",majority opinion,"County of Los Angeles, et al.","Angel Mendez, et al.",True,Civil Rights,2504,8,9,8,False,True
Byrd v. United States,2017,"<p>Terrence Byrd was driving on a divided four-lane highway near Harrisburg, Pennsylvania, when he was pulled over allegedly for violating a state law requiring drivers to use the left lane for passing only. Recognizing the car as a rental car, the officers asked Byrd for his license and rental agreement, which he had difficulty locating. Once he did locate them, the officers noted that the rental agreement did not list Byrd as an authorized driver, and when they ran his identification, they noted that he was using an alias and had an outstanding warrant in New Jersey. Despite the warrant’s indication that it did not request extradition from other jurisdictions, the officers attempted to contact authorities in New Jersey to confirm they did not seek Byrd’s arrest and extradition, allegedly following protocol for such situations. The officers experienced difficulty with their communications, however, and returned to Byrd’s car, where they asked him to exit the vehicle and about his warrant and alias.</p>
<p>The officers asked whether Byrd had anything illegal in the car and then requested Byrd’s consent to search the car, noting that they did not actually need his consent because he was not listed on the rental agreement. The officers allege that Byrd gave his consent, but Byrd disputes this contention. The subsequent search turned up heroin and body armor in the trunk of the car.</p>
<p>At trial, Byrd moved to suppress the evidence, challenging the initial stop, the extension of the stop, and the search. The district court determined that the violation of the traffic law justified the initial stop and that the extension of the stop was justified by the officers’ developing reasonable suspicion of criminal activity. Byrd maintains that he did not consent to the search, so the issue remains whether he needed to consent at all—that is, whether he had a reasonable expectation of privacy in the rental vehicle, despite not being listed on the rental agreement. If he did not have a reasonable expectation of privacy, then the officers’ search of the vehicle did not require his consent.</p>
<p>There is a circuit split as to whether an unlisted driver of a rental car has a reasonable expectation of privacy in the rental vehicle, and the Third Circuit (where the district court in this case sits) has held that such a driver does not. Thus, the district court denied Byrd’s motion to suppress, and the Third Circuit, reviewing the factual questions for clear error and the legal question de novo, affirmed the judgment of the district court.</p>
",majority opinion,Terrence Byrd,United States of America,True,Criminal Procedure,2575,9,8,9,False,True
"Lozman v. City of Riviera Beach, Florida",2017,"<p>Fane Lozman was a resident of the City of Riviera Beach (the “City”), where he was a vocal critic of the City’s plan to utilize eminent domain to redevelop the Riviera Beach Marina. After the redevelopment plan was approved, Lozman filed suit against the City under the Florida Sunshine Law, seeking to invalidate the City’s approval of the plan due to insufficient public notice for the emergency meeting during which the plan had been approved. The city council met in a closed session to discuss the lawsuit, and the meeting transcript seemed to reflect councilmembers suggesting that the City should employ intimidation tactics in fighting Lozman’s claim. </p>
<p>On November 15, 2006, Lozman attended a regularly scheduled city council meeting and was granted permission to speak during the non-agenda public comment portion of the meeting. When it was his turn to speak, he attempted to begin discussing corruption in local government, and a councilmember instructed him to discontinue his comments on that topic. Lozman repeatedly ignored the councilmember’s instructions, and she ultimately instructed a City police officer to arrest Lozman. </p>
<p>Lozman was charged with, inter alia, disturbing a lawful assembly. The prosecuting attorney concluded that there was probable cause for the arrest, but dismissed the charges on the grounds that successful prosecution was unlikely. </p>
<p>In February 2008, Lozman filed suit against the City under 42 U.S.C. § 1983 on the grounds that the City had arrested him at the city council meeting in retaliation for his opposition to the redevelopment plan. He alleged (1) retaliation by false arrest under the First Amendment, (2) unreasonable seizure under the Fourth Amendment, and (3) common law false arrest. The case went to trial in November 2014 with Lozman appearing pro se. The jury found in favor of the City on all claims. Lozman filed a motion for a new trial, which the district court denied. </p>
<p>On appeal, Lozman argued that the district court erred in denying his motion for a new trial because the jury’s finding of probable cause on the charge of disturbing a lawful assembly was against the great weight of the evidence. The Eleventh Circuit rejected this contention in light of the evidence presented at trial. It further explained that under its own precedent, a finding of probable cause bars a claim for false arrest under the First Amendment, the Fourth Amendment, and state law. </p>
<p>The Eleventh Circuit also rejected Lozman’s challenge to the district court’s instruction on retaliatory animus, stating that any error the instruction may have contained was harmless because the jury’s probable cause finding defeated Lozman’s retaliatory arrest claim as a matter of law. The appeals court also rejected Lozman’s challenge to the lower court’s jury instructions regarding the City’s authority to limit public comment during city council meetings. The Supreme Court’s grant of certiorari did not include these two issues.</p>
",majority opinion,Fane Lozman,"The City of Riviera Beach, Florida",True,First Amendment,3012,8,8,8,True,True
Minnesota Voters Alliance v. Mansky,2017,"<p>Minnesota Statute § 211B.II prohibits individuals from wearing political apparel at or around polling places on primary or election days. The text of the statute did not define “political”, so Minnesota election officials distributed policy materials to help identify which items fell within the scope of the law. Election officials received instructions to request that anyone wearing apparel which violated the guidelines laid out in the policy materials remove or cover it up. While officials were instructed to allow the person to vote regardless of their compliance, misdemeanor prosecution was a possible outcome, should an individual refuse the removal or cover-up request.</p>
<p class=""m_5420848131695921677m_-5970511599820556662m_3188443106529117331gmail-p1"">This case arose when Andrew Cilek, executive director for Minnesota Voters Alliance, was temporarily prevented from voting at his local polling place in November 2010 because he was wearing a t-shirt with a Tea Party logo and a button that advocated for the requirement of a photo ID to vote.</p>
<p class=""m_5420848131695921677m_-5970511599820556662m_3188443106529117331gmail-p1"">Minnesota Majority, Minnesota Voters Alliance, and Minnesota Northstar Tea Party Patriots, along with their association Election Integrity Watch (EIW), filed a lawsuit against the Minnesota Secretary of State and various county election officials to enjoin enforcement of the statute as unconstitutional. The parties claimed that the statute violated the First Amendment, facially and as-applied, and was selectively enforced, which also violated their Equal Protection rights.</p>
<p class=""m_5420848131695921677m_-5970511599820556662m_3188443106529117331gmail-p1"">Initially, the district court dismissed all claims. The Eighth Circuit affirmed as to the claims regarding Equal Protection and facial First Amendment violations. It reversed and remanded the as-applied First Amendment claim. The district court ultimately granted summary judgment against EIW, <em>et al.</em>, on the as-applied First Amendment claim. Reviewing de novo the grant of summary judgment against EIW, the Eighth Circuit considered EIW's claim that the Minnesota statute was not reasonable, as applied to Tea Party apparel, because the Tea Party is not a political party in Minnesota. The Eighth Circuit was unpersuaded and held that the district court was correct in its ruling, since EIW had failed to present specific facts that showed banning Tea Party apparel was not reasonable, given the Minnesota statute's purpose. The Eighth Circuit held that EIW's argument that voters in Tea Party apparel were affected by selective enforcement had also failed, as it offered nothing more than speculation that voters wearing other forms of political apparel avoided enforcement of the statute. EIW, <em>et al.</em>, then petitioned the Supreme Court to decide whether the lower courts’ ruling was correct. </p>
<p class=""m_5420848131695921677m_-5970511599820556662m_3188443106529117331gmail-p1"">EIW indicates in their petition for a writ of certiorari that there is a circuit split on the issues presented, where the Eighth Circuit’s ruling aligns with the D.C. and Fifth Circuit, which both have held that the government has authority to ban forms of political speech near polling places. The Fourth and Seventh Circuits have held, by contrast, that a complete ban on all political speech, absent any limiting principle, is unconstitutional, regardless of the location in which such speech has been banned.</p>
",majority opinion,"Minnesota Voters Alliance, et al.","Joe Mansky, et al.",True,First Amendment,3538,7,7,7,True,True
China Agritech v. Resh,2017,"<p>China Agritech is a holding company incorporated in Delaware, with a principal place of business in Beijing. The company represented that it manufactured and sold organic compound fertilizers and other agricultural products to farmers in over two dozen provinces throughout China. It listed its shares on NASDAQ in 2005, and in 2009 reported to the SEC a net revenue of triple the amount it had reported four years earlier. In 2011, company shareholders alleged fraudulent business practices by China Agritech. The company denied the allegations and announced that it would conduct an internal investigation, and subsequently dismissed its independent auditor. Later that year, NASDAQ halted trading in and initiated delisting proceedings against China Agritech’s stock, and in 2012 the SEC revoked the stock’s registration.</p>
<p>Shareholders sued China Agritech in two successive putative class actions in 2011 and 2012, alleging various securities law violations against the company and several individual defendants. Class certification was denied in both cases.</p>
<p>Shareholder Michael Resh brought a third putative class action against the company and individual defendants in 2014, alleging securities law violations arising from the same facts and circumstances as the first two cases. China Agritech moved to dismiss the complaint on the basis that it had been filed after the two year limitations period applicable under the Securities Exchange Act of 1934. Resh and the additional plaintiffs argued that under the <em>American Pipe &amp; Construction v. Utah</em> line of cases, the limitations period had been tolled on their claims during the pendency of the two prior class actions. The district court rejected this contention, finding that under <em>American Pipe</em> and its progeny, the limitations period was tolled as to individual class members, but that the Supreme Court had not decided whether an entirely new class action based on a substantially identical class was subject to the same rule. It ruled that the limitations period was therefore tolled as to the individual claims of the named plaintiffs in the instant case, but not as to the putative class.</p>
<p>The Ninth Circuit reversed, with a three-judge panel finding that the plaintiffs’ class action would not be time-barred where: (1) the named plaintiffs had been unnamed in the two prior suits, which were against many of the same defendants and involved the same underlying events; (2) the two prior cases were timely; (3) class certification was denied in the earlier actions; and (4) pursuant to the <em>American Pipe</em> line of cases, the named plaintiffs’ individual claims were tolled during the pendency of the two prior class actions. The panel explained that permitting such claims to go forward was consistent with the policy goals of tolling in general. The panel further stated that in light of FRCP 23’s requirements, as well as principles of comity and preclusion, the existing legal system contains sufficient safeguards to prevent litigants from filing repetitious actions in light of this ruling.</p>
",majority opinion,"China Agritech, Inc.","Michael H. Resh, et al.",True,Judicial Power,3115,9,9,9,True,True
Abbott v. Perez,2017,"<p>Individual voters in Texas, along with organizations representing Latinos and African Americans, filed a number of lawsuits in 2011, challenging the Texas legislature’s congressional and state house redistricting plans. The actions were consolidated and proceed in the U.S. District Court for the Western District of Texas (“Texas District Court”). The plaintiffs alleged racial gerrymandering in violation of § 2 of the Voting Rights Act (VRA) as well as the 14th and 15th Amendments to the United States Constitution. At that time Texas was bound by the preclearance requirements under § 5 of the VRA, and therefore the State simultaneously filed an action in the U.S. District Court for the District of Columbia (“D.C. District Court”) seeking preclearance of the redistricting plans. </p>
<p>While trial proceedings were pending in both district courts, the 2012 primary elections were approaching. As a result, the Texas District Court assumed the task of implementing interim redistricting plans, which it did on an expedited basis, without access to all relevant facts, and with the understanding that most parties to the litigation alleged that those plans contained many of the same statutory and constitutional infirmities as the challenged plans. The U.S. Supreme Court vacated the first iteration of the interim maps on the grounds that the court had not been sufficiently deferential to the legislature; the Texas District Court issued more deferential plans in February 2012. </p>
<p>The D.C. District Court subsequently denied preclearance to the proposed redistricting plans on the basis that they were enacted with discriminatory intent and had the effect of abridging minority voting rights. Texas appealed this decision to the U.S. Supreme Court.</p>
<p>After the Texas District Court’s interim maps were used for the 2012 elections, the Texas legislature failed to take any action on redistricting in the 2013 regular session. However, it convened a special session during which it adopted, among others, the Texas District Court’s congressional interim map (“Plan C235”) without any changes. The governor subsequently signed the legislation adopting this plan.</p>
<p>In June 2013, the U.S. Supreme Court decided <em>Shelby County v. Holder</em>, which removed the § 5 preclearance requirements from the VRA. Texas was therefore no longer automatically subject to preclearance requirements, and the U.S. Supreme Court later vacated and remanded for further proceedings the D.C. District Court’s preclearance decision, which the lower court then dismissed as moot.</p>
<p>The defendants subsequently sought to dismiss the plaintiffs’ claims in the Texas District Court for lack of subject matter jurisdiction on the basis that the case had become moot. In response, the plaintiffs expressed their desire to amend their complaints regarding the 2011 plans and to challenge the 2013 plans. The court granted them leave to amend, and denied the State’s motions to dismiss. The court explained that the plaintiffs’ claims regarding the 2011 plans were not moot because, <em>inter alia</em>, the plaintiffs continued to be harmed by them. The court also ordered that the 2013 plans, which included Plan C235, be used for the 2014 elections. The plaintiffs then filed their amended complaints, including claims related to both the 2011 and 2013 plans. Most plaintiffs included claims that Plan C235 violated § 2 of the VRA and the 14th and 15th Amendments.</p>
<p>The Texas District Court held trials on the 2011 plans in 2014, and found that they violated certain aspects of § 2 of the VRA and the 14th Amendment. In the ongoing litigation, the plaintiffs contended that the 2013 plans, including Plan C235, included some of the same elements that the court determined were the result of discriminatory intent or statutory or constitutional violations as in the 2011 plans.</p>
<p>In August 2017, the Texas District Court issued an interlocutory order regarding the plaintiffs’ C235 claims. It found that the racially discriminatory intent and effects identified in the 2011 plans carried through to the 2013 plans where the redistricting lines remained the same. It explained that the legislature had adopted the court’s interim plans (which included C235) as part of a litigation strategy that was designed to insulate the plans from any further challenge. The legislature had not engaged in any deliberative process to remove the discriminatory elements from the plans before adopting them, but instead intentionally furthered and continued the discrimination in the existing plans.</p>
<p>The court also concluded that the configurations of CD 27 and CD 35 under Plan C235 violated § 2 of the VRA and the 14th Amendment. As to CD 27, though the court had found in 2012 that this district did not reflect a racially discriminatory purpose because it was not possible to create an additional Latino opportunity district in the region, the Texas legislature had still engaged in vote dilution. Regarding CD 35, the court stated that while C235 was enacted in 2013, the challenged district boundaries that it reflected were drawn in 2011 and found to violate § 2 of the VRA and the 14th Amendment. The court explained that the Texas legislature did not engage in any meaningful effort to cleanse the discriminatory elements from the 2013 plan before it was adopted, and in fact intended to maintain that discrimination in enacting the plan in substantially the same form. </p>
<p>The court additionally found that the plaintiffs had proven a § 2 “results” violation as to CD 27, HD 32, and HD 34, and a racial gerrymandering claim as to HD 90.</p>
<p>The court’s order directed the Texas Attorney General to issue a written advisory within three days as to whether the legislature would convene a special session to address the issue of redistricting. If the legislature did not plan to hold a special session, the parties were ordered to appear before the court to prepare remedial redistricting plans. </p>
<p>In January 2018, the U.S. Supreme Court agreed to hear the defendants’ appeal on the merits, at which time the Court would also consider the question of jurisdiction.</p>
",majority opinion,"Greg Abbott, et al.","Shannon Perez, et al.",True,Civil Rights,6201,5,5,5,True,True
Trump v. Hawaii,2017,"<p>On January 27, 2017, President Donald Trump signed Executive Order No. 13,769 (EO-1), which, among other things, suspended entry for 90 days of foreign nationals from seven countries identified by Congress or the Executive as presenting heightened terrorism-related risks. EO-1 was immediately challenged in federal district court, and the judge entered a nationwide temporary restraining order enjoining enforcement of several of its provisions. A panel of the Ninth Circuit denied the government's emergency motion to stay the order pending appeal. Rather than continuing to litigate the matter, the government announced that it would revoke that order and issue a new one.</p>
<p>On March 6, 2017, President Trump issued Executive Order No. 13,780 (EO-2). Section 2(c) of EO-2 directed that entry of nationals from six of the seven countries designated in EO-1 be suspended for 90 days from the effective date of the order, citing a need for time to establish adequate standards to prevent infiltration by foreign terrorists. Section 6(a) directed that applications for refugee status and travel of refugees into the United States under the United States Refugee Admissions Program (USRAP) be suspended for 120 days from the effective date ""to review the adequacy of USRAP application and adjudication procedures."" Section 6(b) suspended the entry of any individual under USRAP once 50,000 refugees have entered the United States in fiscal year 2017. The effective date of the order was March 16, 2017. EO-2 was subject to swift litigation as well.</p>
<p>On June 14, just before Section 2(c) of EO-2 was by its terms set to expire, President Trump issued a memorandum to Executive Branch officials declaring the effective date of each enjoined provision of EO–2 to be the date on which the injunctions in these cases “are lifted or stayed with respect to that provision."" The government sought review in both cases, making arguments both on the merits of the cases and on procedural issues.</p>
<p>In a per curiam opinion issued simultaneously with an order granting certiorari, the Court granted the government's applications for a stay of the preliminary injunction with respect to Sections 6(a) and (b) of Executive Order 13,780 (EO-2), thereby allowing enforcement of those provisions. Under the Court's ruling, the government may enforce Section 6(a) except as to any ""individual seeking admission as a refugee who can credibly claim a bona fide relationship with a person or entity in the United States,"" nor may such an individual be excluded under Section 6(b).</p>
<p>On September 24, 2017—the same day EO-2 was expiring—President Donald Trump issued a Proclamation restricting travel to the United States by citizens from eight countries. That Proclamation too was challenged in federal court as attempting to exercise power that neither Congress nor the Constitution vested in the president. The Ninth Circuit struck down the Proclamation, and the Supreme Court granted review.</p>
",majority opinion,"Donald J. Trump, President of the United States, et al.","Hawaii, et al.",True,Civil Rights,3000,5,5,5,True,True
